"CARO","Carolina Financial"
"ACFC","Atlantic Coast Federal Corp"
"YDKN","Yadkin Valley Financial Corp"
"TOWN","Towne Bank"
"FCB","Fcb Financial Holdings Inc"
"FBMS","The First Bancshares"
"CART","Carolina Trust Bank"
"BOTJ","Bank of The Jame Fnl"
"PSTB","Park Sterling Bank"
"SGBK","Stonegate Bank [Fl]"
"SBCF","Seacoast Banking Corporation of Florida"
"UBSH","Union First Market Bankshares Corp"
"HMPR","Hampton Roads Bankshares Inc"
"BKSC","Bank of South Carolina"
"TBK","Triumph Bancorp Inc"
"CUBN","Commerce Union Bk Tn"
"STBZ","State Bank Finl Corp"
"BSF","Bear State Financial Inc"
"FHN","First Tennessee National Corp"
"HTH","Hilltop Holdings Inc"
"VBFC","Village Bank and Trust Financial"
"Sym","Name"
"WFBI","Washingtonfirst Bk"
"FMBH","First Mid Ill Bancshares Inc"
"MLVF","Malvern Federal Bancorp"
"HIFS","Hingham Institution For Savings"
"TBNK","Territorial Bancorp Inc"
"XBKS","Xenith Bankshares"
"FCCY","1St Constitution Bancorp [Nj]"
"FRBA","First Bank [Nj]"
"SVBI","Severn Bancorp Inc"
"HBNC","Horizon Bancorp [In]"
"FLIC","The First of Long Island Corp"
"HBMD","Howard Bancorp MD"
"BYBK","Bay Bancorp Inc"
"HBK","Hamilton Bancorp Inc"
"WBB","Westbury Bancorp Inc"
"FNLC","First Bancorp Inc [Me]"
"ORIT","Oritani Financial"
"SBNY","Signature Bank"
"BNCL","Beneficial Mutual Bancorp"
"INDB","Independent Bank"
"MBCN","Middlefield Banc Cor"
"TMP","Tompkinstrustco"
"CZNC","Citizens & Northern Corp"
"NWFL","Norwood Financial"
"BCBP","Bcb Bancorp Inc. [Nj]"
"TRST","Trustco Bank Corp NY"
"SFBC","Sound Financial Inc"
"PFBC","Preferred Bank"
"BOCH","Bank of Commerce Holdings [Ca]"
"FRC","First Republic Bank"
"CUNB","California United Bk"
"PCBK","Pacific Continental Corporation [Ore]"
"SSBI","Summit State Bank"
"OVLY","Oak Valley Bancorp [Ca]"
"PMBC","Pacific Mercantile Bancorp"
"CPF","Central Pacific Financial Co"
"HEOP","Heritage Oaks Bancorp"
"LSBG","Lake Sunapee Bank Group"
"BOFI","Bofi Holding"
"MBTF","M B T Financial Corp"
"FMNB","Farmers Natl Banc Corp Oh"
"FCLF","First Clover Leaf Financial"
"CHEV","Cheviot Financial Corp"
"OVBC","Ohio Valley Banc"
"THFF","First Financial Corporation Indiana"
"ONB","Old National Bancorp Capital"
"BANC","First Pactrust Bancorp"
"OPB","Opus Bank"
"SBSI","Southside Bancshares"
"PNC","PNC Bank"
"BK","Bank of New York Mellon Corp"
"CMA","Comerica Inc"
"GGAL","Grupo Financiero Galicia S.A."
"BFR","Bbva Banco Frances S.A."
"BMA","Banco Macro S.A."
"HDB","Hdfc Bank Ltd"
"UBS","UBS Ag Ordinary Shares When Iss"
"LYG","Lloyds Banking Group Plc"
"BCH","Banco De Chile"
"BSAC","Banco Santander-Chile Ads"
"TD","Toronto Dominion Bank"
"BLX","Banco Latinoamericano De Comercio"
"BSMX","Grupo Financiero Santander Mxi"
"WBK","Westpac Banking Corp"
"CS","Credit Suisse Group"
"BNS","Bank of Nova Scotia"
"RBS","Royal Bank Scotland Group Plc"
"DB","Deutsche Bank Ag"
"BSBR","Banco Santander Brasil Sa"
"BCA","Corpbanca"
"IBN","Icici Bank Ltd"
"SAN","Banco Santander"
"BAP","Credicorp Ltd"
"CIB","Bancolombia S.A."
"ITUB","Itau Unibanco Banco Holding Sa"
"BBDO","Banco Bradesco S.A."
"BBD","Banco Bradesco Sa"
